Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0.0,no,no,no,yes,yes,yes,2100000,484852.8,648125.0,6.0,15511.0,32.8,252399.0,C. Douglas McMillon,U.S.,Bentonville,Arkansas,https://www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",559911.0,2024-08-05
2,Amazon,AMZN,Retailing,Internet Services and Retailing,yes,no,no,no,0.0,no,no,no,yes,yes,no,1525000,1873675.8,574785.0,11.8,30425.0,,527854.0,Andrew R. Jassy,U.S.,Seattle,Washington,https://www.amazon.com,Public,"Market value as of July 15, 2024.",2005565.0,2024-08-05
3,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,no,1.0,yes,no,no,yes,yes,no,161000,2647973.8,383285.0,-2.8,96995.0,-2.8,352583.0,Timothy D. Cook,U.S.,Cupertino,California,https://www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",3594309.0,2024-08-05
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1.0,yes,no,no,yes,yes,no,440000,456080.8,371622.0,14.6,22381.0,11.2,273720.0,Andrew P. Witty,U.S.,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public,"Market value as of July 15, 2024.",474339.0,2024-08-05
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2.0,yes,no,no,yes,yes,no,396500,908919.7,364482.0,20.7,96223.0,,1069978.0,Warren E. Buffett,U.S.,Omaha,Nebraska,https://www.berkshirehathaway.com,Public,"Market value as of July 15, 2024.",937028.0,2024-08-05
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0.0,no,no,no,yes,yes,no,259500,100373.9,357776.0,10.9,8344.0,101.1,249728.0,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,https://www.cvshealth.com,Public,"Market value as of July 15, 2024.",73653.0,2024-08-05
7,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,-4.0,no,yes,no,yes,no,no,61500,461222.2,344582.0,-16.7,36010.0,-35.4,376317.0,Darren W. Woods,U.S.,Spring,Texas,https://www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",516824.0,2024-08-05
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,no,0.0,no,no,no,yes,yes,no,182502,1884633.0,307394.0,8.7,73795.0,23.0,402392.0,Sundar Pichai,U.S.,Mountain View,California,https://www.abc.xyz,Public,"Market value as of July 15, 2024.",2315182.0,2024-08-05
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0.0,no,no,no,yes,no,no,48000,70546.5,276711.0,4.8,3560.0,219.6,62320.0,Brian S. Tyler,U.S.,Irving,Texas,https://www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2024. Market value as of July 15, 2024.",75007.0,2024-08-05
10,Cencora,COR,Health Care,Wholesalers: Health Care,yes,no,no,yes,1.0,yes,no,no,yes,no,no,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,https://www.cencora.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Changed name from AmerisourceBergen, Aug. 30, 2023. Market value as of July 15, 2024.",43758.0,2024-08-05
11,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,1.0,yes,no,no,yes,yes,no,316000,324924.4,242290.0,6.8,6292.0,7.7,68994.0,Ron M. Vachris,U.S.,Issaquah,Washington,https://www.costco.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of July 15, 2024.",376272.0,2024-08-05
12,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,11.0,yes,no,no,yes,yes,no,309926,576938.4,239425.0,54.7,49552.0,31.5,3875393.0,James Dimon,U.S.,New York,New York,https://www.jpmorganchase.com,Public,"Market value as of July 15, 2024.",603194.0,2024-08-05
13,Microsoft,MSFT,Technology,Computer Software,yes,no,no,no,0.0,no,no,no,yes,yes,no,221000,3126133.1,211915.0,6.9,72361.0,-0.5,411976.0,Satya Nadella,U.S.,Redmond,Washington,https://www.microsoft.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",3373970.0,2024-08-05
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,yes,no,no,yes,0.0,no,no,no,yes,no,no,47520,27217.8,205012.0,13.0,261.0,,43417.0,Jason M. Hollar,U.S.,Dublin,Ohio,https://www.cardinalhealth.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",22832.0,2024-08-05
15,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,-5.0,no,yes,no,yes,no,no,45600,292965.6,200949.0,-18.4,21369.0,-39.7,261632.0,Michael K. Wirth,U.S.,San Ramon,California,https://www.chevron.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",291950.0,2024-08-05
16,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-1.0,no,yes,no,yes,no,no,71413,103017.9,195265.0,8.2,5164.0,-22.6,152761.0,David M. Cordani,U.S.,Bloomfield,Connecticut,https://www.thecignagroup.com,Public,"Market value as of July 15, 2024.",94148.0,2024-08-05
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,2.0,yes,no,no,yes,no,no,177000,53017.8,176191.0,11.5,4347.0,,273310.0,James D. Farley Jr.,U.S.,Dearborn,Michigan,https://www.ford.com,Public,"Market value as of July 15, 2024.",56811.0,2024-08-05
18,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,no,14.0,yes,no,no,yes,yes,yes,212985,299213.0,171912.0,49.4,26515.0,-3.7,3180151.0,Brian T. Moynihan,U.S.,Charlotte,North Carolina,https://www.bankofamerica.com,Public,"Market value as of July 15, 2024.",327595.0,2024-08-05
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,no,2.0,yes,no,no,yes,no,no,163000,52353.5,171842.0,9.6,10127.0,1.9,273064.0,Mary T. Barra,U.S.,Detroit,Michigan,https://www.gm.com,Public,"Market value as of July 15, 2024.",56222.0,2024-08-05
20,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,2.0,yes,no,no,yes,yes,yes,104900,120619.6,171340.0,9.4,5987.0,-0.6,108928.0,Gail K. Boudreaux,U.S.,Indianapolis,Indiana,https://www.elevancehealth.com,Public,"Market value as of July 15, 2024.",123335.0,2024-08-05
21,Citigroup,C,Financials,Commercial Banks,yes,no,yes,no,15.0,yes,no,no,yes,no,no,237925,121122.2,156820.0,55.1,9228.0,-37.8,2411834.0,Jane Fraser,U.S.,New York,New York,https://www.citigroup.com,Public,"Market value as of July 15, 2024.",124251.0,2024-08-05
22,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,no,3.0,yes,no,no,yes,yes,no,67700,41979.4,153999.0,6.5,2702.0,124.8,84641.0,Sarah M. London,U.S.,St. Louis,Missouri,https://www.centene.com,Public,"Market value as of July 15, 2024.",35221.0,2024-08-05
23,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3.0,no,yes,no,yes,yes,no,463100,380153.7,152669.0,-3.0,15143.0,-11.5,76530.0,Edward P. Decker,U.S.,Atlanta,Georgia,https://www.homedepot.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",355454.0,2024-08-05
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,-8.0,no,yes,no,yes,no,no,18200,72607.7,150307.0,-16.5,9681.0,-33.3,85987.0,Maryann T. Mannen,U.S.,Findlay,Ohio,https://www.marathonpetroleum.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",58737.0,2024-08-05
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,yes,no,no,no,-1.0,no,yes,no,yes,no,no,414000,41100.7,150039.0,1.2,2164.0,-3.6,50505.0,W. Rodney McMullen,U.S.,Cincinnati,Ohio,https://www.thekrogerco.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",37620.0,2024-08-05
26,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,yes,-9.0,no,yes,no,yes,no,no,14000,69880.8,149890.0,-14.7,7015.0,-36.4,75501.0,Mark E. Lashier,U.S.,Houston,Texas,https://www.phillips66.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",59383.0,2024-08-05
27,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,1.0,yes,no,no,yes,no,no,8100,1818.2,141240.0,16.2,17408.0,34.7,4325437.0,Priscilla Almodovar,U.S.,Washington,District Of Columbia,https://www.fanniemae.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 15, 2024.",8585.0,2024-08-05
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,no,no,no,yes,-1.0,no,yes,no,yes,no,no,268500,18712.3,139081.0,4.8,-3080.0,-171.0,96628.0,Timothy Wentworth,U.S.,Deerfield,Illinois,https://www.walgreensbootsalliance.com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of July 15, 2024.",10100.0,2024-08-05
29,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,yes,-11.0,no,yes,no,yes,no,no,9897,56234.5,139001.0,-18.8,8835.0,-23.4,63056.0,R. Lane Riggs,U.S.,San Antonio,Texas,https://www.valero.com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",48641.0,2024-08-05
30,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,no,1.0,yes,no,no,yes,yes,no,67317,1237940.1,134902.0,15.7,39098.0,68.5,229623.0,Mark Zuckerberg,U.S.,Menlo Park,California,https://investor.fb.com,Public,"Market value as of July 15, 2024.",1258678.0,2024-08-05
31,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-5.0,no,yes,no,yes,yes,no,105400,176651.6,133974.0,-2.1,11614.0,-45.4,380255.0,Hans E. Vestberg,U.S.,New York,New York,https://www.verizon.com,Public,"Market value as of July 15, 2024.",171696.0,2024-08-05
32,AT&T,T,Telecommunications,Telecommunications,yes,no,no,no,-2.0,no,yes,no,yes,yes,no,150470,125889.1,122428.0,1.4,14400.0,,407060.0,John T. Stankey,U.S.,Dallas,Texas,https://www.att.com,Public,"Market value as of July 15, 2024.",133222.0,2024-08-05
33,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-4.0,no,yes,no,yes,yes,yes,186000,172180.0,121572.0,0.1,15388.0,186.6,264811.0,Brian L. Roberts,U.S.,Philadelphia,Pennsylvania,https://www.comcastcorporation.com,Public,"Market value as of July 15, 2024.",152786.0,2024-08-05
34,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,13.0,yes,no,no,yes,no,no,226000,205201.8,115340.0,39.2,19142.0,45.2,1932468.0,Charles W. Scharf,U.S.,San Francisco,California,https://www.wellsfargo.com,Public,"Market value as of July 15, 2024.",201265.0,2024-08-05
35,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,no,20.0,yes,no,no,yes,yes,no,45300,135551.7,108418.0,57.8,8516.0,-24.4,1641594.0,David M. Solomon,U.S.,New York,New York,https://www.goldmansachs.com,Public,"Market value as of July 15, 2024.",164412.0,2024-08-05
36,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,9.0,yes,no,no,yes,no,no,8020,877.6,108050.0,24.6,10538.0,13.0,3280976.0,Michael T. Hutchins,U.S.,McLean,Virginia,https://www.freddiemac.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 15, 2024.",4528.0,2024-08-05
37,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-4.0,no,yes,no,yes,yes,yes,415000,81816.1,107412.0,-1.6,4138.0,48.8,55356.0,Brian C. Cornell,U.S.,Minneapolis,Minnesota,https://www.target.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",69997.0,2024-08-05
38,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,4.0,yes,no,no,yes,yes,no,67600,41796.7,106374.0,14.5,2489.0,-11.3,47065.0,James A. Rechtin,U.S.,Louisville,Kentucky,https://www.humana.com,Public,"Market value as of July 15, 2024.",46298.0,2024-08-05
39,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,5.0,yes,no,no,yes,no,no,65054,,104198.6,16.6,-6272.3,,339484.7,Michael L. Tipsord,U.S.,Bloomington,Illinois,https://www.statefarm.com,Private,"Figures are for fiscal year ended Dec. 31, 2022.",,2024-08-05
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,10.0,yes,no,no,yes,no,no,140473,559854.3,96773.0,18.8,14997.0,19.4,106618.0,Elon Musk,U.S.,Austin,Texas,https://www.tesla.com,Public,"Market value as of July 15, 2024.",805719.0,2024-08-05
41,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,no,20.0,yes,no,no,yes,yes,no,80006,153976.9,96194.0,45.9,9087.0,-17.6,1193693.0,Edward N. Pick,U.S.,New York,New York,https://www.morganstanley.com,Public,"Market value as of July 15, 2024.",171065.0,2024-08-05
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,yes,no,no,no,-2.0,no,yes,no,yes,yes,no,131900,381203.6,95195.0,0.3,35153.0,95.9,167558.0,Joaquin Duato,U.S.,New Brunswick,New Jersey,https://www.jnj.com,Public,"Includes revenues from discontinued operations. Market value as of July 15, 2024.",359173.0,2024-08-05
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,no,-8.0,no,yes,no,yes,yes,no,41008,32023.6,93935.0,-7.5,3483.0,-19.7,54631.0,Juan R. Luciano,U.S.,Chicago,Illinois,https://www.adm.com,Public,"Market value as of July 15, 2024.",31347.0,2024-08-05
44,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,2.0,yes,no,no,yes,yes,no,318000,240552.8,91471.0,5.9,9074.0,1.8,100495.0,Ramon L. Laguarta,U.S.,Purchase,New York,https://www.pepsico.com,Public,"Market value as of July 15, 2024.",225074.0,2024-08-05
45,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,no,-8.0,no,yes,no,yes,yes,no,382550,126828.9,90958.0,-9.3,6708.0,-41.9,70857.0,Carol B. Tom?,U.S.,Atlanta,Georgia,https://www.ups.com,Public,"Market value as of July 15, 2024.",123329.0,2024-08-05
46,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-5.0,no,yes,no,yes,yes,no,446400,71299.4,90155.0,-3.6,3972.0,3.8,87143.0,Rajesh Subramaniam,U.S.,Memphis,Tennessee,https://www.fedex.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of July 15, 2024.",74517.0,2024-08-05
47,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,1.0,yes,no,no,yes,yes,no,199125,224445.2,88898.0,7.5,2354.0,-25.2,205579.0,Robert A. Iger,U.S.,Burbank,California,https://www.thewaltdisneycompany.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",176598.0,2024-08-05
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-14.0,no,yes,no,yes,yes,no,120000,81450.6,88425.0,-13.6,3211.0,31.5,82089.0,Michael S. Dell,U.S.,Round Rock,Texas,https://www.delltechnologies.com/,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",97331.0,2024-08-05
