Date,Time,Name,Amount,Location,Zip,Balance,Fraud
2024-01-01,08:00:00,Paycheck,2000.0,Oviedo FL,32765,4000.0,0
2024-01-01,09:00:00,Rent,-960.0,Oviedo FL,32765,3040.0,0
2024-01-01,09:00:00,Insurance,-197.46,Oviedo FL,32765,2842.54,0
2024-01-01,09:00:00,Car,-300.0,Oviedo FL,32765,2542.54,0
2024-01-01,10:55:00,Subway,-14.43,Winter Park FL,32789,2528.11,0
2024-01-02,19:59:00,Paypal,-414.88,Groton CT,51858,2113.23,1
2024-01-02,14:09:00,Five Below,-13.42,Orlando FL,32816,2514.69,0
2024-01-02,12:55:00,Shell,-16.68,Winter Park FL,32789,2498.01,0
2024-01-02,13:45:00,Exxon,-12.83,Orlando FL,32816,2485.18,0
2024-01-03,20:28:00,Starbucks,-20.16,Orlando FL,32816,2465.02,0
2024-01-04,09:01:00,CVS,-38.34,Oviedo FL,32765,2426.68,0
2024-01-04,21:13:00,Magic the Gathering,-856.62,Pittsburgh PA,79001,1570.06,1
2024-01-05,16:59:00,McDonald's,-39.32,Oviedo FL,32765,2387.36,0
2024-01-06,08:26:00,Impractical Jokers,-2522.51,Los Angeles CA,48029,-135.15,1
2024-01-06,08:45:00,Subway,-7.52,Winter Park FL,32789,2379.84,0
2024-01-06,18:50:00,Netflix,-44.66,Oviedo FL,32765,2335.18,0
2024-01-06,16:56:00,Walmart,-145.29,Orlando FL,32816,2189.89,0
2024-01-07,09:00:00,Spotify,-11.99,Oviedo FL,32765,2177.9,0
2024-01-07,09:00:00,Internet,-70.89,Oviedo FL,32765,2107.01,0
2024-01-07,09:00:00,ChatGPT Plus,-20.0,Oviedo FL,32765,2087.01,0
2024-01-07,16:13:00,CVS,-10.88,Winter Park FL,32789,2076.13,0
2024-01-07,10:16:00,Burger King,-17.28,Winter Park FL,32789,2058.85,0
2024-01-08,11:14:00,Burger King,-5.79,Oviedo FL,32765,2053.06,0
2024-01-08,10:36:00,BP,-21.17,Orlando FL,32816,2031.89,0
2024-01-08,17:01:00,Burger King,-31.3,Orlando FL,32816,2000.59,0
2024-01-09,18:25:00,Accelerators,-2567.12,Anchorage AL,28507,-566.53,1
2024-01-10,13:46:00,Burger King,-20.03,Winter Park FL,32789,1980.56,0
2024-01-10,17:34:00,Subway,-32.13,Oviedo FL,32765,1948.43,0
2024-01-10,12:34:00,Five Below,-8.37,Winter Park FL,32789,1940.06,0
2024-01-11,11:32:00,Servicenow,-2767.41,London EN,91506,-827.35,1
2024-01-12,18:29:00,Pep Boys,-57.61,Oviedo FL,32765,1882.45,0
2024-01-12,10:08:00,Subway,-31.11,Winter Park FL,32789,1851.34,0
2024-01-13,03:51:00,IBM,-1955.22,Groton CT,17957,-103.88,1
2024-01-13,14:58:00,Netflix,-11.75,Orlando FL,32816,1839.59,0
2024-01-13,10:53:00,McDonald's,-12.8,Oviedo FL,32765,1826.79,0
2024-01-13,12:45:00,McDonald's,-13.81,Orlando FL,32816,1812.98,0
2024-01-15,08:00:00,Paycheck,2000.0,Oviedo FL,32765,3812.98,0
2024-01-15,14:19:00,Walgreens,-20.17,Winter Park FL,32789,3792.81,0
2024-01-16,16:03:00,Subway,-12.39,Winter Park FL,32789,3780.42,0
2024-01-16,09:17:00,Amusement Park,-33.65,Winter Park FL,32789,3746.77,0
2024-01-16,11:23:00,Kroger,-82.2,Winter Park FL,32789,3664.57,0
2024-01-17,19:30:00,Burger King,-22.51,Orlando FL,32816,3642.06,0
2024-01-19,17:14:00,Subway,-28.29,Winter Park FL,32789,3613.77,0
2024-01-19,09:03:00,Concert Tickets,-57.42,Orlando FL,32816,3556.35,0
2024-01-19,16:53:00,Concert Tickets,-44.87,Orlando FL,32816,3511.48,0
2024-01-20,14:32:00,Subway,-11.75,Orlando FL,32816,3499.73,0
2024-01-20,13:31:00,Netflix,-45.86,Orlando FL,32816,3453.87,0
2024-01-22,12:21:00,Starbucks,-20.94,Orlando FL,32816,3432.93,0
2024-01-22,16:20:00,Subway,-31.75,Winter Park FL,32789,3401.18,0
2024-01-22,12:36:00,CVS,-44.54,Orlando FL,32816,3356.64,0
2024-01-23,12:01:00,Subway,-9.74,Winter Park FL,32789,3346.9,0
2024-01-25,18:33:00,Lockheed Martin,-1759.66,Los Angeles CA,17842,1587.24,1
2024-01-26,10:28:00,CVS,-26.93,Winter Park FL,32789,3319.97,0
2024-01-27,13:52:00,Burger King,-7.73,Oviedo FL,32765,3312.24,0
2024-01-28,06:05:00,Fat Joe,-821.28,Groton CT,21579,2490.96,1
2024-01-28,13:58:00,Subway,-38.44,Orlando FL,32816,3273.8,0
2024-01-29,08:00:00,Paycheck,2000.0,Oviedo FL,32765,5273.8,0
2024-01-30,20:06:00,Burger King,-7.5,Winter Park FL,32789,5266.3,0
2024-01-30,15:24:00,Netflix,-33.04,Oviedo FL,32765,5233.26,0
2024-01-31,08:08:00,Dollar Tree,-34.24,Orlando FL,32816,5199.02,0
2024-01-31,19:43:00,Kroger,-99.84,Orlando FL,32816,5099.18,0
2024-01-31,04:05:00,Pawn Stars,-658.98,Anchorage AL,89580,4440.2,1
2024-02-01,09:00:00,Rent,-960.0,Oviedo FL,32765,4139.18,0
2024-02-01,09:00:00,Insurance,-197.46,Oviedo FL,32765,3941.72,0
2024-02-01,09:00:00,Car,-300.0,Oviedo FL,32765,3641.72,0
2024-02-01,16:15:00,Amusement Park,-12.11,Orlando FL,32816,3629.61,0
2024-02-01,10:31:00,Walmart,-148.06,Orlando FL,32816,3481.55,0
2024-02-01,09:02:00,Magic the Gathering,-2393.15,Charleston SC,73565,1088.4,1
2024-02-01,11:44:00,Burger King,-18.09,Winter Park FL,32789,3463.46,0
2024-02-02,19:30:00,Burger King,-28.08,Oviedo FL,32765,3435.38,0
2024-02-02,13:01:00,Movie Theater,-20.99,Orlando FL,32816,3414.39,0
2024-02-02,14:34:00,Starbucks,-13.62,Orlando FL,32816,3400.77,0
2024-02-04,10:21:00,Kroger,-94.62,Winter Park FL,32789,3306.15,0
2024-02-05,18:32:00,Jiffy Lube,-126.28,Oviedo FL,32765,3179.87,0
2024-02-05,12:28:00,Walgreens,-35.31,Winter Park FL,32789,3144.56,0
2024-02-05,19:41:00,Burger King,-27.65,Winter Park FL,32789,3116.91,0
2024-02-06,15:41:00,Exxon,-19.58,Oviedo FL,32765,3097.33,0
2024-02-07,09:00:00,Spotify,-11.99,Oviedo FL,32765,3085.34,0
2024-02-07,09:00:00,Internet,-70.89,Oviedo FL,32765,3014.45,0
2024-02-07,09:00:00,ChatGPT Plus,-20.0,Oviedo FL,32765,2994.45,0
2024-02-09,18:38:00,Target,-20.68,Winter Park FL,32789,2973.77,0
2024-02-09,19:05:00,McDonald's,-35.92,Winter Park FL,32789,2937.85,0
2024-02-09,12:00:00,McDonald's,-19.15,Winter Park FL,32789,2918.7,0
2024-02-11,11:37:00,McDonald's,-24.85,Winter Park FL,32789,2893.85,0
2024-02-12,08:00:00,Paycheck,2000.0,Oviedo FL,32765,4893.85,0
2024-02-12,12:25:00,Burger King,-27.0,Winter Park FL,32789,4866.85,0
2024-02-12,12:18:00,Walgreens,-9.22,Orlando FL,32816,4857.63,0
2024-02-13,16:44:00,Walmart,-15.02,Winter Park FL,32789,4842.61,0
2024-02-14,12:29:00,BP,-18.62,Winter Park FL,32789,4823.99,0
2024-02-15,08:07:00,Subway,-29.5,Winter Park FL,32789,4794.49,0
2024-02-15,10:43:00,Accelerators,-1567.28,New York NY,74170,3227.21,1
2024-02-16,16:43:00,BP,-10.33,Winter Park FL,32789,4784.16,0
2024-02-16,18:38:00,Servicenow,-1009.04,Honolulu HI,62073,3775.12,1
2024-02-18,16:03:00,Burger King,-31.22,Orlando FL,32816,4752.94,0
2024-02-18,13:38:00,Exxon,-12.53,Orlando FL,32816,4740.41,0
2024-02-19,17:29:00,Starbucks,-35.61,Winter Park FL,32789,4704.8,0
2024-02-19,13:03:00,Subway,-16.4,Oviedo FL,32765,4688.4,0
2024-02-20,19:33:00,Chevron,-21.84,Orlando FL,32816,4666.56,0
2024-02-22,11:50:00,Walmart,-74.8,Oviedo FL,32765,4591.76,0
2024-02-22,21:02:00,Burger King,-12.54,Winter Park FL,32789,4579.22,0
2024-02-23,10:01:00,Five Below,-35.15,Winter Park FL,32789,4544.07,0
2024-02-23,21:17:00,Exxon,-11.43,Winter Park FL,32789,4532.64,0
2024-02-23,21:43:00,BP,-23.29,Oviedo FL,32765,4509.35,0
2024-02-24,08:09:00,Onlyfans,-649.49,Tokyo JP,85184,3859.86,1
2024-02-24,11:03:00,BP,-11.18,Oviedo FL,32765,4498.17,0
2024-02-24,15:19:00,Publix,-62.11,Orlando FL,32816,4436.06,0
2024-02-24,15:44:00,Onlyfans,-809.91,Pyongyang NK,67766,3626.15,1
2024-02-24,08:14:00,Dollar Tree,-18.06,Winter Park FL,32789,4418.0,0
2024-02-25,12:49:00,Best Buy,-45.85,Orlando FL,32816,4372.15,0
2024-02-25,16:48:00,Burger King,-15.3,Orlando FL,32816,4356.85,0
2024-02-25,16:43:00,Burger King,-7.19,Oviedo FL,32765,4349.66,0
2024-02-26,08:00:00,Paycheck,2000.0,Oviedo FL,32765,6349.66,0
2024-02-26,12:09:00,Whole Foods,-125.84,Winter Park FL,32789,6223.82,0
2024-02-26,09:32:00,Burger King,-27.6,Oviedo FL,32765,6196.22,0
2024-02-26,20:15:00,Shell,-51.05,Oviedo FL,32765,6145.17,0
2024-02-27,20:14:00,BP,-40.5,Oviedo FL,32765,6104.67,0
2024-02-27,17:22:00,Best Buy,-192.39,Orlando FL,32816,5912.28,0
2024-02-28,21:16:00,Best Buy,-65.68,Oviedo FL,32765,5846.6,0
2024-02-28,07:07:00,Lockheed Martin,-2136.14,Pyongyang NK,74849,3710.46,1
2024-02-28,20:59:00,Amazon,-57.13,Oviedo FL,32765,5789.47,0
2024-02-28,13:44:00,Trader Joe's,-47.0,Orlando FL,32816,5742.47,0
2024-02-28,22:06:00,Fat Joe,-1452.68,New York NY,15220,4289.79,1
2024-02-29,17:44:00,Burger King,-36.72,Winter Park FL,32789,5705.75,0
2024-03-01,09:00:00,Rent,-960.0,Oviedo FL,32765,4745.75,0
2024-03-01,09:00:00,Insurance,-197.46,Oviedo FL,32765,4548.29,0
