Date,Time,Name,Amount,Location,Zip,Balance,Fraud
2012-01-01,08:00:00,Paycheck,3000.0,Oviedo FL,32765,6745.87,0
2012-01-01,09:00:00,Rent,-1428.57,Oviedo FL,32765,5317.3,0
2012-01-01,09:00:00,Insurance,-200.0,Oviedo FL,32765,5117.3,0
2012-01-01,09:00:00,Car,-281.69,Oviedo FL,32765,4835.61,0
2012-01-01,09:00:00,Utilities,-142.86,Oviedo FL,32765,4692.75,0
2012-01-01,16:55:00,AutoZone,-135.39,Winter Park FL,32789,4557.36,0
2012-01-01,04:14:00,CVS,-7.74,Oviedo FL,32765,4549.62,0
2012-01-01,11:14:00,Kroger,-74.38,Winter Park FL,32789,4475.24,0
2012-01-01,11:44:00,Five Below,-19.41,Winter Park FL,32789,4455.83,0
2012-01-01,14:05:00,Amazon,-110.33,Winter Park FL,32789,4345.5,0
2012-01-02,13:21:00,Qdoba,-20.52,Orlando FL,32816,4324.98,0
2012-01-02,06:38:00,Qdoba,-42.56,Orlando FL,32816,4282.42,0
2012-01-02,17:05:00,Five Below,-47.76,Winter Park FL,32789,4234.66,0
2012-01-04,02:39:00,Exxon,-12.56,Orlando FL,32816,4222.1,0
2012-01-04,02:47:00,Walmart,-122.74,Winter Park FL,32789,4099.36,0
2012-01-05,18:11:00,Movie Rental,-63.03,Orlando FL,32816,4036.33,0
2012-01-07,09:00:00,Spotify,-12.0,Oviedo FL,32765,4024.33,0
2012-01-07,09:00:00,Internet,-70.0,Oviedo FL,32765,3954.33,0
2012-01-07,09:00:00,Streaming,-23.81,Oviedo FL,32765,3930.52,0
2012-01-08,04:56:00,7-Eleven,-27.14,Winter Park FL,32789,3903.38,0
2012-01-08,09:01:00,Subway,-44.75,Winter Park FL,32789,3858.63,0
2012-01-08,18:28:00,Petco,-15.68,Winter Park FL,32789,3842.95,0
2012-01-08,17:56:00,BP,-18.99,Winter Park FL,32789,3823.96,0
2012-01-10,12:39:00,Five Below,-19.19,Orlando FL,32816,3804.77,0
2012-01-10,04:48:00,McDonald's,-16.44,Orlando FL,32816,3788.33,0
2012-01-10,16:01:00,Subway,-23.18,Orlando FL,32816,3765.15,0
2012-01-11,12:47:00,Whole Foods,-50.6,Orlando FL,32816,3714.55,0
2012-01-11,15:17:00,Panera,-32.89,Oviedo FL,32765,3681.66,0
2012-01-11,06:19:00,Lowes Foods,-69.39,Oviedo FL,32765,3612.27,0
2012-01-11,08:10:00,Subway,-36.83,Oviedo FL,32765,3575.44,0
2012-01-11,09:07:00,Publix,-68.08,Orlando FL,32816,3507.36,0
2012-01-12,09:47:00,7-Eleven,-13.22,Orlando FL,32816,3494.14,0
2012-01-12,08:17:00,Petco,-129.89,Orlando FL,32816,3364.25,0
2012-01-13,10:38:00,Pep Boys,-212.63,Winter Park FL,32789,3151.62,0
2012-01-13,07:23:00,Disney World,-18.52,Orlando FL,32816,3133.1,0
2012-01-13,10:18:00,Kroger,-62.24,Winter Park FL,32789,3070.86,0
2012-01-13,04:46:00,7-Eleven,-17.23,Oviedo FL,32765,3053.63,0
2012-01-13,09:58:00,Disney World,-53.18,Orlando FL,32816,3000.45,0
2012-01-14,00:40:00,Movie Theater,-26.73,Winter Park FL,32789,2973.72,0
2012-01-14,12:55:00,Shell,-21.08,Oviedo FL,32765,2952.64,0
2012-01-15,08:00:00,Paycheck,3000.0,Oviedo FL,32765,5952.64,0
